Slug,Name,URL,Category,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
welcome-bar,Welcome Bar,https://www.wix.com/app-market/web-solution/welcome-bar,Marketing,4,177,,Hero Apps,Add a welcome bar to gather emails & get likes,true,https://static.wixstatic.com/media/175588_8acdc27175c848be8d649f61d35504b2~mv2.png/v1/fill/175588_8acdc27175c848be8d649f61d35504b2~mv2.png,,2025-07-06T20:57:44.309Z
mailchimp-integration-by-poco,Mailchimp Email Marketing PoCo,https://www.wix.com/app-market/web-solution/mailchimp-integration-by-poco,Design & Content,4.3,28,,Presto-Changeo,Boost sales and increase your conversion rates,true,https://static.wixstatic.com/media/56c7a4_f8a340b8b387404caf0cdee3ab815f3d~mv2.jpg/v1/fill/56c7a4_f8a340b8b387404caf0cdee3ab815f3d~mv2.jpg,with automatic synchronization.Extensive Service Integration: Aligns effortlessly with your website's various services,2025-07-06T20:57:44.382Z
mailchimp-forms,Mailchimp Forms by MailMunch,https://www.wix.com/app-market/web-solution/mailchimp-forms,Communication,3.8,213,,MailMunchBy MailMunch,Grow email list with popups and landing pages.,true,https://static.wixstatic.com/media/2e968d_5b7576b3655c435aabab5366b654f2d1~mv2.png/v1/fill/2e968d_5b7576b3655c435aabab5366b654f2d1~mv2.png,,2025-07-06T20:57:44.460Z
goaffpro-affiliate-marketing,Goaffpro Affiliate Marketing,https://www.wix.com/app-market/web-solution/goaffpro-affiliate-marketing,Other,4.2,153,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Professional affiliate marketing app,true,https://static.wixstatic.com/media/38354f_b1dfaaab21c747adb1d45d2b77b8260c~mv2.png/v1/fill/38354f_b1dfaaab21c747adb1d45d2b77b8260c~mv2.png,,2025-07-06T20:57:44.570Z
popup,Popup Sales & Email Collection,https://www.wix.com/app-market/web-solution/popup,Marketing,3.7,154,,POWR,Promote deals and collect emails fast,true,https://static.wixstatic.com/media/829a0c_3c0fedcf159a48898dd78f6758d096c0~mv2.png/v1/fill/829a0c_3c0fedcf159a48898dd78f6758d096c0~mv2.png,,2025-07-06T20:57:44.646Z
neowauk-survey-quiz-email,"Neowauk -Survey, Quiz & Email",https://www.wix.com/app-market/web-solution/neowauk-survey-quiz-email,Marketing,4.2,67,,Neowauk,"Surveys, Recommendations, Wheel & Email Popup",true,https://static.wixstatic.com/media/604552_eb4d2cf6af2a44a3b940b950e1419634~mv2.png/v1/fill/604552_eb4d2cf6af2a44a3b940b950e1419634~mv2.png,,2025-07-06T20:57:44.742Z
simple-push,Simple Push Notifications,https://www.wix.com/app-market/web-solution/simple-push,Design & Content,3.8,72,,Simple Apps,Effortlessly Retain your users with Popup Push,true,https://static.wixstatic.com/media/4a4649_3ccf6feb7e3a4e798a575dfd564c6bb0~mv2.png/v1/fill/4a4649_3ccf6feb7e3a4e798a575dfd564c6bb0~mv2.png,,2025-07-06T20:57:44.854Z
wisernotify,Wisernotify Social Proof App,https://www.wix.com/app-market/web-solution/wisernotify,Marketing,5,18,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Boost conversion using social proof & FOMO,true,https://static.wixstatic.com/media/e74941_92a8195900be4e3fbbd6468e128fd58d~mv2.jpg/v1/fill/e74941_92a8195900be4e3fbbd6468e128fd58d~mv2.jpg,,2025-07-06T20:57:44.946Z
popup-forms-by-smartarget,Popup Forms by Smartarget,https://www.wix.com/app-market/web-solution/popup-forms-by-smartarget,Communication,4.8,72,,SmartargetBy Smartarget,Grow your mailing list with Popup Forms,true,https://static.wixstatic.com/media/0d1dde_79ba0a6cd4c6404c98ee871aaa9ec762~mv2.png/v1/fill/0d1dde_79ba0a6cd4c6404c98ee871aaa9ec762~mv2.png,,2025-07-06T20:57:45.025Z
bundle-upsell,Frequently Bought Together,https://www.wix.com/app-market/web-solution/bundle-upsell,eCommerce,4.9,16,,MarketPushApps,Turn Popular Product Pairs into More Sales,true,https://static.wixstatic.com/media/19e924_b9bc5672a0ba4714ac2caa7eaab63dee~mv2.png/v1/fill/19e924_b9bc5672a0ba4714ac2caa7eaab63dee~mv2.png,,2025-07-06T20:57:45.109Z
toastibar-sales-popup,ToastiBar - Sales Popup,https://www.wix.com/app-market/web-solution/toastibar-sales-popup,eCommerce,4.9,47,,MAKEPROSIMP LLP,"Sales, Cart, Visitors, Review Popups & more",true,https://static.wixstatic.com/media/929b07_31a343b06f7c470d976777084cddf5f4~mv2.png/v1/fill/929b07_31a343b06f7c470d976777084cddf5f4~mv2.png,,2025-07-06T20:57:45.214Z
blog-products-upsell,Blog Products Upsell,https://www.wix.com/app-market/web-solution/blog-products-upsell,eCommerce,5,10,,MarketPushApps,Monetize Blogs by Upselling Products,true,https://static.wixstatic.com/media/fa5794_fe4698832a3f4e02a0fc09d3bab91b18~mv2.png/v1/fill/fa5794_fe4698832a3f4e02a0fc09d3bab91b18~mv2.png,,2025-07-06T20:57:45.333Z
lumifish-pop-up,Lumifish Pop-Up,https://www.wix.com/app-market/web-solution/lumifish-pop-up,Other,2.4,156,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Add an interactive pop-up to your website,true,https://static.wixstatic.com/media/ba0b8d_72570eebfe2048fcbb78355aa2140256~mv2.png/v1/fill/ba0b8d_72570eebfe2048fcbb78355aa2140256~mv2.png,,2025-07-06T20:57:45.423Z
convertify,Convertify - Leads Booster,https://www.wix.com/app-market/web-solution/convertify,Marketing,5,9,,Marketing & SEO Tools,100+ Conversions Booster Plugins,true,https://static.wixstatic.com/media/aa95cd_2b878d32e6594acc8af83eef3ded44b2~mv2.jpg/v1/fill/aa95cd_2b878d32e6594acc8af83eef3ded44b2~mv2.jpg,,2025-07-06T20:57:45.525Z
sales-notification,Sales Pop up,https://www.wix.com/app-market/web-solution/sales-notification,Marketing,5,6,,PurpleBear7 day,Boost your sales with Social Proof,true,https://static.wixstatic.com/media/d8c8bc_93e65311255f4ad69558b40a06ae1ec7~mv2.png/v1/fill/d8c8bc_93e65311255f4ad69558b40a06ae1ec7~mv2.png,,2025-07-06T20:57:45.621Z
quantity-volume-discounts,Quantity & Volume Discounts,https://www.wix.com/app-market/web-solution/quantity-volume-discounts,Other,4.9,8,,MarketPushApps,Boost Sales with Quantity-Based Discounts,true,https://static.wixstatic.com/media/fa5794_f2f32b6e143c4e3bb7becf9a078bed29~mv2.png/v1/fill/fa5794_f2f32b6e143c4e3bb7becf9a078bed29~mv2.png,,2025-07-06T20:57:45.715Z
viewboost,ViewBoost,https://www.wix.com/app-market/web-solution/viewboost,Marketing,4.8,12,,DartMetric,Boost your sales with real-time social proof,true,https://static.wixstatic.com/media/d46cdc_8f5ba927092f4f2ab0290d5d91804c24~mv2.png/v1/fill/d46cdc_8f5ba927092f4f2ab0290d5d91804c24~mv2.png,,2025-07-06T20:57:45.793Z
salesdish-browser-tab,Salesdish Browser Tab,https://www.wix.com/app-market/web-solution/salesdish-browser-tab,Communication,4.8,16,,ANTDIY,Recall customers via prominent browser tabs,true,https://static.wixstatic.com/media/e7eb4e_3d59f847559248119a55460e57b7d1dd~mv2.png/v1/fill/e7eb4e_3d59f847559248119a55460e57b7d1dd~mv2.png,,2025-07-06T20:57:45.873Z
prompt-email-popup-upsell,Prompt : Email Popup & Upsell,https://www.wix.com/app-market/web-solution/prompt-email-popup-upsell,Marketing,4.3,9,,OnVoard14 day,Use popups to capture email and upsell,true,https://static.wixstatic.com/media/126bf4_b0b55c4a172e4f4db37645d18764ad86~mv2.png/v1/fill/126bf4_b0b55c4a172e4f4db37645d18764ad86~mv2.png,,2025-07-06T20:57:45.962Z
popup-email-marketing-by-ot,Mailing List Email Sign Up AV,https://www.wix.com/app-market/web-solution/popup-email-marketing-by-ot,Marketing,5,4,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""","Boost engagement, capture emails",true,https://static.wixstatic.com/media/fd1e54_e4557fb2b7554f139b4fcc43e26429ba~mv2.jpg/v1/fill/fd1e54_e4557fb2b7554f139b4fcc43e26429ba~mv2.jpg,,2025-07-06T20:57:46.043Z
purchase-order,Purchase Orders,https://www.wix.com/app-market/web-solution/purchase-order,eCommerce,3,3,,Wix,Order and receive inventory from your suppliers,true,https://static.wixstatic.com/media/f0fa2a_0026315660234d58afd4ee6576790662~mv2.png/v1/fill/f0fa2a_0026315660234d58afd4ee6576790662~mv2.png,,2025-07-06T20:57:46.116Z
mega-emoji-tab-animation,Mega Emoji Tab Animation,https://www.wix.com/app-market/web-solution/mega-emoji-tab-animation,Design & Content,5,3,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Dynamic emoji tab animations to boost engagement,true,https://static.wixstatic.com/media/48da06_f4368cff8299411289b80ee714c4d45d~mv2.png/v1/fill/48da06_f4368cff8299411289b80ee714c4d45d~mv2.png,,2025-07-06T20:57:46.181Z
mega-stock-counter,Mega Stock Counter,https://www.wix.com/app-market/web-solution/mega-stock-counter,Other,4.9,7,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Display low stock numbers to motivate sales,true,https://static.wixstatic.com/media/48da06_2375ebd7aa404bb3ac6a0d93d93ae245~mv2.png/v1/fill/48da06_2375ebd7aa404bb3ac6a0d93d93ae245~mv2.png,,2025-07-06T20:57:46.315Z
zotabox,Zotabox Onsite Marketing Tools,https://www.wix.com/app-market/web-solution/zotabox,Marketing,4.4,7,,Zotabox,"Generate leads, Build brands and Drive sales",true,https://static.wixstatic.com/media/bdc437_2f7a19e9e44449d788bfa007a734fcae~mv2.jpg/v1/fill/bdc437_2f7a19e9e44449d788bfa007a734fcae~mv2.jpg,,2025-07-06T20:57:46.664Z
lumifish-info-bar,Lumifish Info Bar,https://www.wix.com/app-market/web-solution/lumifish-info-bar,Other,2.9,21,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Catch your visitors’ attention with Info Bar,true,https://static.wixstatic.com/media/ba0b8d_c254ba00ddaa45a2876f0c3395516bc3~mv2.png/v1/fill/ba0b8d_c254ba00ddaa45a2876f0c3395516bc3~mv2.png,,2025-07-06T20:57:46.839Z
amazon-with-wix,Amazon with Wix,https://www.wix.com/app-market/web-solution/amazon-with-wix,eCommerce,1,1,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Sell on Amazon and reach 300 million shoppers,true,https://static.wixstatic.com/media/6d230e_57c421a4c10f45908f69370634bc7fd1~mv2.png/v1/fill/6d230e_57c421a4c10f45908f69370634bc7fd1~mv2.png,,2025-07-06T20:57:46.926Z
upurr-store,Upurr Store,https://www.wix.com/app-market/web-solution/upurr-store,eCommerce,4.6,7,,Upurr,Connecting to your shoppers,true,https://static.wixstatic.com/media/1f1b1a_010a2eb910c4442f90c37e0d49c3b98c~mv2.png/v1/fill/1f1b1a_010a2eb910c4442f90c37e0d49c3b98c~mv2.png,,2025-07-06T20:57:47.052Z
listingsms,ListingSMS,https://www.wix.com/app-market/web-solution/listingsms,eCommerce,3,1,,ListingSMS,List products in seconds via SMS,true,https://static.wixstatic.com/media/1ca07b_c7f75f0025da4154831d6f7df2b44f2e~mv2.jpg/v1/fill/1ca07b_c7f75f0025da4154831d6f7df2b44f2e~mv2.jpg,,2025-07-06T20:57:47.134Z
super-gift-options,Super Gift Upsell & Cross Sell,https://www.wix.com/app-market/web-solution/super-gift-options,Other,4.9,201,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""","Online store gift note, gift wrap & gift message",true,https://static.wixstatic.com/media/e4256a_44827796cdf64e218121cb3d6f2afc86~mv2.png/v1/fill/e4256a_44827796cdf64e218121cb3d6f2afc86~mv2.png,,2025-07-06T20:57:47.256Z
airpost-shipping-labels,AIRPOST - Shipping Labels,https://www.wix.com/app-market/web-solution/airpost-shipping-labels,eCommerce,5,2,,AIRPOST,Create national and international shipments.,true,https://static.wixstatic.com/media/0f21d7_c0c178eee8d2484f80be79cb84313e54~mv2.png/v1/fill/0f21d7_c0c178eee8d2484f80be79cb84313e54~mv2.png,,2025-07-06T20:57:47.352Z
online-store,Online Store,https://www.wix.com/app-market/web-solution/online-store,Other,4.2,579,,Ecwid by Lightspeed,Advanced ecommerce app to sell online for free,true,https://static.wixstatic.com/media/24eab4_ea546f3ff23242f7b795336a319d75b5~mv2.png/v1/fill/24eab4_ea546f3ff23242f7b795336a319d75b5~mv2.png,,2025-07-06T20:57:47.445Z
recently-viewed,Recently Viewed,https://www.wix.com/app-market/web-solution/recently-viewed,Other,5,6,,DartMetric,"Recapture interest, increase revenue",true,https://static.wixstatic.com/media/d46cdc_80c6acd062b84814843bec87e7b764c0~mv2.png/v1/fill/d46cdc_80c6acd062b84814843bec87e7b764c0~mv2.png,,2025-07-06T20:57:47.613Z
parcelpath,ParcelPath,https://www.wix.com/app-market/web-solution/parcelpath,eCommerce,1,1,,Parcel Path LLC.,Free Small parcel shipping/LTL and Freight,true,https://static.wixstatic.com/media/db810e_1b351fc4e040448182e5e50b8b83ee68~mv2.png/v1/fill/db810e_1b351fc4e040448182e5e50b8b83ee68~mv2.png,,2025-07-06T20:57:47.726Z
deliveright-white-glove,Deliveright White Glove,https://www.wix.com/app-market/web-solution/deliveright-white-glove,Other,1,1,,Deliveright,Heavy goods delivery solution,true,https://static.wixstatic.com/media/4b3c79_a651ebb3d1334d2185539634ac36d997~mv2.png/v1/fill/4b3c79_a651ebb3d1334d2185539634ac36d997~mv2.png,,2025-07-06T20:57:47.861Z
square-payment-button,Square Payment Button,https://www.wix.com/app-market/web-solution/square-payment-button,eCommerce,1,1,,PURPLE,Elevate your store with Square Payment Button,true,https://static.wixstatic.com/media/574fd0_d3f15f5e92cf4c389c5dd519018310b3~mv2.png/v1/fill/574fd0_d3f15f5e92cf4c389c5dd519018310b3~mv2.png,,2025-07-06T20:57:47.965Z
online-store-by-powr,eCommerce Store by POWR,https://www.wix.com/app-market/web-solution/online-store-by-powr,Other,4.1,615,,POWRBy POWR,Start selling online—no extra fees,true,https://static.wixstatic.com/media/829a0c_957cd81410384de1b5788778cc7f2c51~mv2.png/v1/fill/829a0c_957cd81410384de1b5788778cc7f2c51~mv2.png,,2025-07-06T20:57:48.081Z
ship-com,Ship.com,https://www.wix.com/app-market/web-solution/ship-com,eCommerce,3.3,4,,Ship.com14 day,"Automated Shipping for Ecommerce, Get $15 Credit",true,https://static.wixstatic.com/media/bbc571_f8737dcfff854cfcafb4013705ef8623~mv2.jpg/v1/fill/bbc571_f8737dcfff854cfcafb4013705ef8623~mv2.jpg,,2025-07-06T20:57:48.210Z
paypal-payment-button,PayPal Payment Button,https://www.wix.com/app-market/web-solution/paypal-payment-button,eCommerce,4.4,7,,PURPLE,"Secure transactions, seamless integration",true,https://static.wixstatic.com/media/1fff64_c6708d3c3a52425d8ad4c3fc07220109~mv2.jpg/v1/fill/1fff64_c6708d3c3a52425d8ad4c3fc07220109~mv2.jpg,,2025-07-06T20:57:48.307Z
e-marketplace-services,E-Marketplace Services,https://www.wix.com/app-market/web-solution/e-marketplace-services,eCommerce,1,1,,Tristone Cloud Inc.,"Discounted shipping, simplified order processing",true,https://static.wixstatic.com/media/ab767b_5240969212394885972d37b79aa4de8e~mv2.png/v1/fill/ab767b_5240969212394885972d37b79aa4de8e~mv2.png,,2025-07-06T20:57:48.385Z
mailmunch-forms,MailMunch Forms,https://www.wix.com/app-market/web-solution/mailmunch-forms,Communication,3.1,15,,MailMunch,Grow email list with popups and landing pages.,true,https://static.wixstatic.com/media/2e968d_e20045e6d65647e6bbec6a045f7334a7~mv2.png/v1/fill/2e968d_e20045e6d65647e6bbec6a045f7334a7~mv2.png,,2025-07-06T20:57:48.477Z
easyship,Easyship,https://www.wix.com/app-market/web-solution/easyship,eCommerce,2.7,6,,Easyship,All-in-One Shipping Platform,true,https://static.wixstatic.com/media/b0bdc9_dd1e2038ad9b4af1b4e1bb925ecbb6a6~mv2.png/v1/fill/b0bdc9_dd1e2038ad9b4af1b4e1bb925ecbb6a6~mv2.png,,2025-07-06T20:57:48.552Z
ccavenue-pay-button,CCAvenue Pay Button,https://www.wix.com/app-market/web-solution/ccavenue-pay-button,eCommerce,1,1,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/bec40d_4cda9c08aa8545658fb0a9e9a029ab8c~mv2.png/v1/fill/bec40d_4cda9c08aa8545658fb0a9e9a029ab8c~mv2.png,,2025-07-06T20:57:51.641Z
sell-downloads,Sell Downloads,https://www.wix.com/app-market/web-solution/sell-downloads,Marketing,2.8,189,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Sell digital products on your Wix website.,true,https://static.wixstatic.com/media/c56d00_fc65f944d578404e932ff0c7e4108b0f~mv2.png/v1/fill/c56d00_fc65f944d578404e932ff0c7e4108b0f~mv2.png,,2025-07-06T20:57:51.747Z
novatomato,NovaTomato: Print On Demand,https://www.wix.com/app-market/web-solution/novatomato,eCommerce,4.7,141,,NovaTomato,"Dropshipping, Premium & Sustainable Fashion",true,https://static.wixstatic.com/media/d11292_0b21357172cf41bfb3a22701a222b5a3~mv2.png/v1/fill/d11292_0b21357172cf41bfb3a22701a222b5a3~mv2.png,,2025-07-06T20:57:51.829Z
tiny-erp,Olist Tiny,https://www.wix.com/app-market/web-solution/tiny-erp,Other,4.2,13,,Olist ERP30 day,ERP para simplificar a operação do seu negócio,true,https://static.wixstatic.com/media/3bb5d3_313eb828c4094f23b57180a6e8b896b3~mv2.png/v1/fill/3bb5d3_313eb828c4094f23b57180a6e8b896b3~mv2.png,,2025-07-06T20:57:51.927Z
online-payment-button,Online Payments by vcita,https://www.wix.com/app-market/web-solution/online-payment-button,eCommerce,3.9,213,,vcitaBy vcita Inc.,Accept PayPal & credit card payments,true,https://static.wixstatic.com/media/2f9e90_d8523e47ec1a44db86ec840e112d72a8~mv2.png/v1/fill/2f9e90_d8523e47ec1a44db86ec840e112d72a8~mv2.png,,2025-07-06T20:57:52.037Z
open-payout,Open Payout,https://www.wix.com/app-market/web-solution/open-payout,Business Services,4.4,5,,Open Payout30 day,"Sync to Xero, FreshBooks and Intuit QuickBooks",true,https://static.wixstatic.com/media/c792f8_f1b82314aac04a88a85e3b8b47272e67~mv2.png/v1/fill/c792f8_f1b82314aac04a88a85e3b8b47272e67~mv2.png,,2025-07-06T20:57:52.149Z
buy-it-now,Buy It Now,https://www.wix.com/app-market/web-solution/buy-it-now,Other,3.6,30,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",‘Buy it Now’ with PayPal button,true,https://static.wixstatic.com/media/140569_61e62916d0c04d6c86203ca01054bbc3~mv2.png/v1/fill/140569_61e62916d0c04d6c86203ca01054bbc3~mv2.png,,2025-07-06T20:57:52.219Z
hugepod,Tapstitch: POD & Dropshipping,https://www.wix.com/app-market/web-solution/hugepod,eCommerce,3.4,11,,TapStitch,Print On Demand 3D design and dropshipping,true,https://static.wixstatic.com/media/cc9544_b4010553b2474036a76cba44c9429ff1~mv2.png/v1/fill/cc9544_b4010553b2474036a76cba44c9429ff1~mv2.png,,2025-07-06T20:57:52.290Z
square-pay-button,Square Pay Button,https://www.wix.com/app-market/web-solution/square-pay-button,eCommerce,1,1,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/bec40d_385bf215d43f4b9390e280a95dd9b46b~mv2.png/v1/fill/bec40d_385bf215d43f4b9390e280a95dd9b46b~mv2.png,,2025-07-06T20:57:52.362Z
quickbooks-bridge-by-parex,QuickBooks Bridge by Parex,https://www.wix.com/app-market/web-solution/quickbooks-bridge-by-parex,Business Services,3,4,,ParexBy Parex Technologies10 day,Integrate your data with QuickBooks Online,true,https://static.wixstatic.com/media/8b0ad5_69ef19be295b4eeda61cbccdaeb926e0~mv2.png/v1/fill/8b0ad5_69ef19be295b4eeda61cbccdaeb926e0~mv2.png,in QuickBooks Online at that time. Cancellations & Refunds are also synced appropriately. We have you covered for Tax & Shipping lines as well. We will even sync the Tax info & Shipping amount to your QuickBooks account. We have other additional optional features for Class & Dept mapping,2025-07-06T20:57:52.457Z
quickbooks-sync-by-webgility,QB Desktop Sync by Webgility,https://www.wix.com/app-market/web-solution/quickbooks-sync-by-webgility,Business Services,4.3,6,,WebgilityBy Webgility INC,Post orders to QuickBooks Desktop in real time,true,https://static.wixstatic.com/media/bc9384_2f2280cb57ff48bd91a9458cf3cdae7f~mv2.png/v1/fill/bc9384_2f2280cb57ff48bd91a9458cf3cdae7f~mv2.png,,2025-07-06T20:57:52.539Z
beauty-dropshipping-by-blanka,Blanka: Beauty Print on Demand,https://www.wix.com/app-market/web-solution/beauty-dropshipping-by-blanka,eCommerce,4.6,41,,Blanka,"Create print on demand makeup, skincare & beauty",true,https://static.wixstatic.com/media/5471fc_b2809b17ea0a46a7aaa69b0b8c7a4148~mv2.png/v1/fill/5471fc_b2809b17ea0a46a7aaa69b0b8c7a4148~mv2.png,,2025-07-06T20:57:52.889Z
paypal-button,PayPal Button,https://www.wix.com/app-market/web-solution/paypal-button,eCommerce,4.7,2946,,POWR,PayPal/Stripe payments with no transaction fees,true,https://static.wixstatic.com/media/829a0c_86136568ba434584a02f4e3b73d8ba9b~mv2.png/v1/fill/829a0c_86136568ba434584a02f4e3b73d8ba9b~mv2.png,,2025-07-06T20:57:52.974Z
printify,Printify,https://www.wix.com/app-market/web-solution/printify,Other,4.7,712,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Businesses Love Printify,true,https://static.wixstatic.com/media/8c9d8a_a0fbcca8aa2948369f2abbf6aafaab98~mv2.png/v1/fill/8c9d8a_a0fbcca8aa2948369f2abbf6aafaab98~mv2.png,,2025-07-06T20:57:53.058Z
bling,Bling,https://www.wix.com/app-market/web-solution/bling,Other,4.2,12,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Um ERP online eficiente e fácil de usar,true,https://static.wixstatic.com/media/0b2b4f_2d2ed80c75f949e38afb34c64ee6747d~mv2.png/v1/fill/0b2b4f_2d2ed80c75f949e38afb34c64ee6747d~mv2.png,,2025-07-06T20:57:53.297Z
two-fifteen-print-on-demand,Two Fifteen – Print On Demand,https://www.wix.com/app-market/web-solution/two-fifteen-print-on-demand,eCommerce,4.2,12,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Design and sell print on demand products,true,https://static.wixstatic.com/media/37d43d_68cdb77386bb45ecbb2f03f0bf253852~mv2.png/v1/fill/37d43d_68cdb77386bb45ecbb2f03f0bf253852~mv2.png,,2025-07-06T20:57:53.408Z
mytshirt,MyTshirt,https://www.wix.com/app-market/web-solution/mytshirt,Design & Content,3.3,123,,MyTshirt,Turn photos to premium merchandise with a click,true,https://static.wixstatic.com/media/4ad8cf_a4e67c8283034387a27d1fba6dae9c64~mv2.png/v1/fill/4ad8cf_a4e67c8283034387a27d1fba6dae9c64~mv2.png,,2025-07-06T20:57:53.512Z
gst-order-invoice-india,GST Order Invoice India,https://www.wix.com/app-market/web-solution/gst-order-invoice-india,Business Services,4.9,21,2024,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Download GST ready invoice,true,https://static.wixstatic.com/media/cea58d_c97cc37b81c64b81a72092063a248241~mv2.jpg/v1/fill/cea58d_c97cc37b81c64b81a72092063a248241~mv2.jpg,,2025-07-06T20:57:53.608Z
